Mock Pupil Dataset - One Form Entry Primary School,,,,,,,,,,,,,,,,,,
30 pupils per year group from Reception to Year 6 (210 total). Data is fictional.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Student ID,First Name,Last Name,Year Group,Date of Birth,Sex,Reading,Writing,Maths,Science,History,Geography,Computing,Art,Music,PE,RE,Attendance,Persistent Absence
1136,Reuben,Russell,Year 4,14/06/2017,Male,Expected,Expected,Expected,Expected,Working Towards,Expected,Expected,Expected,Expected,Expected,Pre-Working Towards,92.1%,No
1137,Lily,Hughes,Year 4,06/06/2017,Female,Expected,Working Towards,Working Towards,Expected,Greater Depth,Greater Depth,Working Towards,Expected,Pre-Working Towards,Greater Depth,Expected,96.8%,No
1138,Freya,Murphy,Year 4,15/06/2017,Female,Greater Depth,Pre-Working Towards,Greater Depth,Expected,Working Towards,Expected,Greater Depth,Working Towards,Expected,Working Towards,Expected,91.3%,No
1139,Oscar,Hughes,Year 4,15/10/2016,Male,Greater Depth,Greater Depth,Working Towards,Expected,Expected,Expected,Pre-Working Towards,Expected,Working Towards,Greater Depth,Expected,93.5%,No
1140,Ethan,Dixon,Year 4,16/03/2017,Male,Pre-Working Towards,Greater Depth,Working Towards,Expected,Greater Depth,Pre-Working Towards,Expected,Greater Depth,Working Towards,Working Towards,Working Towards,91.8%,No
1141,Ava,Morris,Year 4,23/06/2017,Female,Expected,Greater Depth,Greater Depth,Working Towards,Greater Depth,Working Towards,Working Towards,Greater Depth,Working Towards,Expected,Working Towards,92.6%,No
1142,Ella,Wright,Year 4,23/09/2016,Female,Greater Depth,Greater Depth,Greater Depth,Pre-Working Towards,Expected,Expected,Greater Depth,Greater Depth,Working Towards,Expected,Greater Depth,95.7%,No
1143,Caleb,Kelly,Year 4,23/03/2017,Male,Working Towards,Expected,Greater Depth,Expected,Working Towards,Expected,Pre-Working Towards,Working Towards,Expected,Expected,Expected,93.1%,No
1144,Harry,Ward,Year 4,28/05/2017,Male,Working Towards,Working Towards,Pre-Working Towards,Greater Depth,Expected,Expected,Working Towards,Greater Depth,Expected,Working Towards,Expected,93.9%,No
1145,Ruby,Griffin,Year 4,14/04/2017,Female,Expected,Greater Depth,Expected,Greater Depth,Greater Depth,Expected,Greater Depth,Working Towards,Expected,Working Towards,Expected,95.2%,No
1146,Arthur,Edwards,Year 4,13/09/2016,Male,Greater Depth,Expected,Expected,Working Towards,Greater Depth,Pre-Working Towards,Expected,Pre-Working Towards,Expected,Working Towards,Greater Depth,95.7%,No
1147,Ethan,Bennett,Year 4,07/08/2017,Male,Greater Depth,Working Towards,Working Towards,Pre-Working Towards,Working Towards,Working Towards,Greater Depth,Working Towards,Expected,Working Towards,Working Towards,94.2%,No
1148,Poppy,Wright,Year 4,21/10/2016,Female,Working Towards,Greater Depth,Working Towards,Expected,Expected,Expected,Working Towards,Working Towards,Expected,Working Towards,Pre-Working Towards,96.0%,No
1149,Ruby,Matthews,Year 4,23/02/2017,Female,Working Towards,Expected,Expected,Pre-Working Towards,Expected,Greater Depth,Expected,Working Towards,Greater Depth,Expected,Expected,97.6%,No
1150,Phoebe,Cooper,Year 4,21/07/2017,Female,Pre-Working Towards,Working Towards,Greater Depth,Greater Depth,Expected,Pre-Working Towards,Expected,Working Towards,Working Towards,Greater Depth,Working Towards,94.4%,No
1151,Finley,Brooks,Year 5,11/10/2015,Male,Working Towards,Expected,Expected,Working Towards,Expected,Working Towards,Expected,Greater Depth,Expected,Greater Depth,Expected,94.4%,No
1152,Harper,Wilson,Year 5,31/01/2016,Female,Working Towards,Working Towards,Greater Depth,Expected,Expected,Working Towards,Pre-Working Towards,Expected,Expected,Expected,Expected,95.9%,No
1153,Sofia,Bailey,Year 5,12/05/2016,Female,Expected,Expected,Expected,Greater Depth,Expected,Greater Depth,Working Towards,Working Towards,Working Towards,Working Towards,Working Towards,95.8%,No
1154,Joseph,Barnes,Year 5,24/11/2015,Male,Expected,Greater Depth,Working Towards,Greater Depth,Working Towards,Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Expected,94.7%,No
1155,Joseph,Ward,Year 5,22/02/2016,Male,Pre-Working Towards,Working Towards,Working Towards,Expected,Greater Depth,Expected,Expected,Working Towards,Greater Depth,Greater Depth,Expected,95.9%,No
1156,Finley,Cook,Year 5,24/04/2016,Male,Greater Depth,Expected,Expected,Expected,Working Towards,Pre-Working Towards,Working Towards,Expected,Expected,Greater Depth,Greater Depth,86.1%,Yes
1157,Evie,Pearce,Year 5,08/04/2016,Female,Working Towards,Greater Depth,Working Towards,Expected,Expected,Greater Depth,Pre-Working Towards,Working Towards,Expected,Greater Depth,Working Towards,87.8%,Yes
1158,Finley,Green,Year 5,18/04/2016,Male,Expected,Expected,Expected,Expected,Working Towards,Working Towards,Pre-Working Towards,Greater Depth,Working Towards,Expected,Greater Depth,97.1%,No
1159,Millie,Matthews,Year 5,20/08/2016,Female,Expected,Greater Depth,Pre-Working Towards,Expected,Pre-Working Towards,Greater Depth,Expected,Working Towards,Greater Depth,Working Towards,Greater Depth,95.2%,No
1160,Ruby,Barnes,Year 5,06/01/2016,Female,Expected,Pre-Working Towards,Pre-Working Towards,Expected,Greater Depth,Greater Depth,Expected,Greater Depth,Pre-Working Towards,Working Towards,Working Towards,94.6%,No
1161,Ruby,Ali,Year 5,17/06/2016,Female,Working Towards,Working Towards,Pre-Working Towards,Working Towards,Expected,Working Towards,Greater Depth,Expected,Pre-Working Towards,Pre-Working Towards,Expected,94.7%,No
1162,James,Griffin,Year 5,24/06/2016,Male,Expected,Expected,Greater Depth,Working Towards,Working Towards,Working Towards,Working Towards,Expected,Expected,Expected,Working Towards,94.5%,No
1163,Jack,Kelly,Year 5,13/10/2015,Male,Pre-Working Towards,Greater Depth,Pre-Working Towards,Greater Depth,Greater Depth,Pre-Working Towards,Expected,Greater Depth,Expected,Working Towards,Expected,91.8%,No
1164,Max,Griffin,Year 5,15/08/2016,Male,Expected,Greater Depth,Expected,Expected,Greater Depth,Expected,Pre-Working Towards,Pre-Working Towards,Working Towards,Expected,Expected,97.0%,No
1165,Matilda,Dixon,Year 5,16/05/2016,Female,Expected,Expected,Expected,Greater Depth,Pre-Working Towards,Greater Depth,Working Towards,Expected,Expected,Expected,Working Towards,95.8%,No
1166,Layla,Powell,Year 5,09/12/2015,Female,Expected,Expected,Expected,Expected,Greater Depth,Expected,Expected,Expected,Expected,Expected,Expected,93.3%,No
1167,Elsie,Kelly,Year 5,19/04/2016,Female,Greater Depth,Expected,Working Towards,Expected,Pre-Working Towards,Working Towards,Expected,Expected,Expected,Expected,Expected,94.7%,No
1168,Sofia,Patel,Year 5,10/05/2016,Female,Expected,Working Towards,Expected,Expected,Expected,Pre-Working Towards,Working Towards,Greater Depth,Greater Depth,Pre-Working Towards,Working Towards,93.1%,No
1169,Henry,Patel,Year 5,18/10/2015,Male,Expected,Greater Depth,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Working Towards,94.4%,No
1170,Arthur,Hughes,Year 5,07/05/2016,Male,Working Towards,Greater Depth,Working Towards,Greater Depth,Expected,Greater Depth,Expected,Expected,Greater Depth,Expected,Greater Depth,97.1%,No
1171,Charlotte,Ward,Year 5,14/11/2015,Female,Expected,Expected,Greater Depth,Greater Depth,Expected,Expected,Working Towards,Expected,Greater Depth,Working Towards,Working Towards,97.0%,No
1172,Emily,Mills,Year 5,10/02/2016,Female,Greater Depth,Working Towards,Greater Depth,Working Towards,Greater Depth,Expected,Greater Depth,Expected,Greater Depth,Expected,Greater Depth,96.8%,No
1173,Sofia,Mills,Year 5,10/11/2015,Female,Expected,Expected,Working Towards,Expected,Working Towards,Greater Depth,Expected,Greater Depth,Expected,Expected,Working Towards,93.0%,No
1174,Rosie,Barnes,Year 5,14/11/2015,Female,Expected,Pre-Working Towards,Working Towards,Greater Depth,Greater Depth,Expected,Expected,Expected,Working Towards,Expected,Working Towards,93.0%,No
1175,Benjamin,Roberts,Year 5,31/10/2015,Male,Expected,Expected,Working Towards,Greater Depth,Greater Depth,Expected,Expected,Working Towards,Working Towards,Expected,Expected,96.6%,No
1176,Harper,Ali,Year 5,02/01/2016,Female,Working Towards,Working Towards,Working Towards,Working Towards,Expected,Expected,Expected,Working Towards,Expected,Expected,Working Towards,95.4%,No
1177,Willow,Griffin,Year 5,02/04/2016,Female,Working Towards,Working Towards,Expected,Working Towards,Working Towards,Expected,Expected,Greater Depth,Expected,Expected,Working Towards,92.7%,No
1178,Emily,Russell,Year 5,14/03/2016,Female,Working Towards,Pre-Working Towards,Expected,Expected,Working Towards,Expected,Greater Depth,Expected,Expected,Working Towards,Expected,94.3%,No
1179,Emily,Hall,Year 5,19/07/2016,Female,Greater Depth,Expected,Working Towards,Expected,Expected,Expected,Working Towards,Expected,Expected,Greater Depth,Greater Depth,92.3%,No
1180,Daniel,Dixon,Year 5,23/10/2015,Male,Expected,Expected,Greater Depth,Working Towards,Working Towards,Pre-Working Towards,Greater Depth,Expected,Greater Depth,Working Towards,Expected,93.4%,No
1181,Jack,Hill,Year 6,29/08/2015,Male,Greater Depth,Working Towards,Working Towards,Greater Depth,Greater Depth,Expected,Greater Depth,Pre-Working Towards,Expected,Expected,Expected,92.6%,No
1182,Hugo,Parker,Year 6,23/03/2015,Male,Working Towards,Greater Depth,Working Towards,Expected,Working Towards,Greater Depth,Pre-Working Towards,Expected,Expected,Greater Depth,Expected,94.4%,No
1183,James,Green,Year 6,02/10/2014,Male,Expected,Pre-Working Towards,Greater Depth,Expected,Expected,Greater Depth,Expected,Expected,Working Towards,Pre-Working Towards,Working Towards,95.9%,No
1184,Ruby,Clarke,Year 6,15/01/2015,Female,Expected,Expected,Expected,Working Towards,Working Towards,Expected,Pre-Working Towards,Expected,Working Towards,Expected,Pre-Working Towards,87.9%,Yes
1185,Harper,Thomas,Year 6,13/09/2014,Female,Expected,Expected,Pre-Working Towards,Expected,Pre-Working Towards,Expected,Expected,Greater Depth,Greater Depth,Expected,Working Towards,95.0%,No
1186,Freddie,Wright,Year 6,09/07/2015,Male,Working Towards,Expected,Greater Depth,Working Towards,Greater Depth,Working Towards,Pre-Working Towards,Working Towards,Expected,Greater Depth,Working Towards,98.8%,No
1187,Freddie,Edwards,Year 6,08/06/2015,Male,Expected,Expected,Expected,Working Towards,Pre-Working Towards,Expected,Greater Depth,Expected,Working Towards,Expected,Expected,94.3%,No
1188,Poppy,Powell,Year 6,23/06/2015,Female,Expected,Expected,Working Towards,Expected,Greater Depth,Expected,Greater Depth,Greater Depth,Pre-Working Towards,Pre-Working Towards,Expected,86.2%,Yes
1189,Amelia,Bell,Year 6,08/09/2014,Female,Greater Depth,Expected,Expected,Expected,Greater Depth,Expected,Working Towards,Working Towards,Greater Depth,Expected,Greater Depth,94.6%,No
1190,Caleb,Wright,Year 6,19/07/2015,Male,Greater Depth,Expected,Expected,Greater Depth,Expected,Greater Depth,Greater Depth,Greater Depth,Working Towards,Expected,Expected,94.5%,No
1191,Poppy,Powell,Year 6,29/12/2014,Female,Greater Depth,Greater Depth,Expected,Working Towards,Greater Depth,Greater Depth,Working Towards,Expected,Greater Depth,Working Towards,Greater Depth,94.6%,No
1192,Matilda,Brooks,Year 6,07/11/2014,Female,Greater Depth,Working Towards,Expected,Working Towards,Working Towards,Expected,Working Towards,Expected,Greater Depth,Pre-Working Towards,Expected,90.7%,No
1193,Daniel,Hunter,Year 6,29/12/2014,Male,Expected,Working Towards,Expected,Greater Depth,Pre-Working Towards,Expected,Expected,Pre-Working Towards,Greater Depth,Working Towards,Expected,85.2%,Yes
1194,Caleb,Wilson,Year 6,01/07/2015,Male,Greater Depth,Working Towards,Expected,Expected,Greater Depth,Pre-Working Towards,Greater Depth,Expected,Expected,Expected,Working Towards,88.8%,Yes
1195,Alice,Bailey,Year 6,04/07/2015,Female,Greater Depth,Pre-Working Towards,Expected,Expected,Working Towards,Greater Depth,Greater Depth,Expected,Expected,Expected,Expected,96.8%,No
1196,Mason,Turner,Year 6,01/11/2014,Male,Pre-Working Towards,Working Towards,Greater Depth,Expected,Working Towards,Greater Depth,Expected,Expected,Greater Depth,Expected,Working Towards,95.7%,No
1197,Alice,Dixon,Year 6,19/11/2014,Female,Greater Depth,Expected,Expected,Expected,Expected,Greater Depth,Greater Depth,Greater Depth,Working Towards,Expected,Expected,94.0%,No
1198,Poppy,Wright,Year 6,19/06/2015,Female,Pre-Working Towards,Pre-Working Towards,Greater Depth,Greater Depth,Working Towards,Expected,Working Towards,Expected,Expected,Pre-Working Towards,Greater Depth,93.5%,No
1199,Sienna,Cooper,Year 6,05/02/2015,Female,Greater Depth,Expected,Expected,Expected,Expected,Expected,Greater Depth,Expected,Expected,Pre-Working Towards,Expected,93.4%,No
1200,Evie,Brooks,Year 6,26/02/2015,Female,Greater Depth,Pre-Working Towards,Working Towards,Greater Depth,Greater Depth,Expected,Pre-Working Towards,Expected,Working Towards,Expected,Expected,89.9%,Yes
1201,Caleb,Matthews,Year 6,24/03/2015,Male,Expected,Working Towards,Greater Depth,Greater Depth,Greater Depth,Working Towards,Pre-Working Towards,Expected,Greater Depth,Expected,Pre-Working Towards,95.1%,No
1202,Millie,Thomas,Year 6,04/06/2015,Female,Greater Depth,Expected,Expected,Greater Depth,Pre-Working Towards,Expected,Expected,Expected,Expected,Working Towards,Expected,94.3%,No
1203,Grace,Brooks,Year 6,10/12/2014,Female,Expected,Expected,Expected,Expected,Working Towards,Greater Depth,Expected,Working Towards,Expected,Working Towards,Expected,98.1%,No
1204,Aiden,Foster,Year 6,25/02/2015,Male,Working Towards,Expected,Expected,Greater Depth,Working Towards,Greater Depth,Greater Depth,Greater Depth,Working Towards,Pre-Working Towards,Greater Depth,91.1%,No
1205,Rosie,Cooper,Year 6,14/10/2014,Female,Expected,Working Towards,Expected,Pre-Working Towards,Expected,Greater Depth,Greater Depth,Expected,Working Towards,Expected,Greater Depth,95.1%,No
1206,Elsie,Hunter,Year 6,08/08/2015,Female,Expected,Working Towards,Working Towards,Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Expected,Greater Depth,Working Towards,97.0%,No
1207,Caleb,Bailey,Year 6,17/08/2015,Male,Expected,Working Towards,Expected,Expected,Expected,Pre-Working Towards,Greater Depth,Expected,Expected,Greater Depth,Expected,86.9%,Yes
1208,Willow,Cooper,Year 6,10/10/2014,Female,Greater Depth,Working Towards,Expected,Expected,Working Towards,Working Towards,Expected,Greater Depth,Expected,Expected,Greater Depth,93.9%,No
1209,Phoebe,Powell,Year 6,07/06/2015,Female,Greater Depth,Working Towards,Expected,Working Towards,Expected,Expected,Greater Depth,Working Towards,Working Towards,Expected,Expected,94.3%,No
1210,Evie,Campbell,Year 6,21/09/2014,Female,Greater Depth,Working Towards,Expected,Greater Depth,Expected,Greater Depth,Greater Depth,Greater Depth,Expected,Greater Depth,Expected,85.6%,Yes
