Mock Pupil Dataset - One Form Entry Primary School,,,,,,,,,,,,,,,,,,
30 pupils per year group from Reception to Year 6 (210 total). Data is fictional.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Student ID,First Name,Last Name,Year Group,Date of Birth,Sex,Reading,Writing,Maths,Science,History,Geography,Computing,Art,Music,PE,RE,Attendance %,Persistent Absence
1142,Ruby,Johnson,Year 4,04/11/2015,Female,Expected,Pre-Working Towards,Expected,Expected,Expected,Greater Depth,Expected,Expected,Greater Depth,Working Towards,Expected,95.8%,No
1143,Thomas,Cooper,Year 4,15/10/2015,Male,Working Towards,Greater Depth,Working Towards,Expected,Working Towards,Greater Depth,Expected,Expected,Working Towards,Expected,Working Towards,90.2%,No
1144,Teddy,Jones,Year 4,12/06/2016,Male,Pre-Working Towards,Expected,Greater Depth,Pre-Working Towards,Working Towards,Greater Depth,Expected,Working Towards,Greater Depth,Expected,Expected,98.1%,No
1145,Olivia,Morris,Year 4,22/11/2015,Female,Expected,Expected,Greater Depth,Working Towards,Working Towards,Expected,Expected,Expected,Expected,Expected,Pre-Working Towards,92.5%,No
1146,Rosie,King,Year 4,24/08/2016,Female,Expected,Pre-Working Towards,Working Towards,Expected,Working Towards,Pre-Working Towards,Pre-Working Towards,Working Towards,Working Towards,Expected,Greater Depth,98.2%,No
1147,Daniel,Turner,Year 4,31/07/2016,Male,Expected,Pre-Working Towards,Expected,Working Towards,Working Towards,Expected,Greater Depth,Expected,Expected,Expected,Expected,96.6%,No
1148,Rory,Hill,Year 4,17/02/2016,Male,Expected,Expected,Pre-Working Towards,Expected,Expected,Expected,Working Towards,Greater Depth,Working Towards,Working Towards,Expected,95.6%,No
1149,Freddie,King,Year 4,08/09/2015,Male,Working Towards,Expected,Expected,Expected,Greater Depth,Expected,Expected,Expected,Expected,Greater Depth,Expected,95.3%,No
1150,Nora,Ali,Year 4,15/07/2016,Female,Expected,Working Towards,Expected,Expected,Expected,Expected,Greater Depth,Pre-Working Towards,Pre-Working Towards,Working Towards,Expected,97.4%,No
1151,Jacob,Ahmed,Year 5,07/12/2014,Male,Expected,Expected,Expected,Greater Depth,Working Towards,Expected,Greater Depth,Working Towards,Greater Depth,Working Towards,Working Towards,95.3%,No
1152,Tommy,Phillips,Year 5,07/12/2014,Male,Expected,Expected,Working Towards,Expected,Expected,Greater Depth,Pre-Working Towards,Expected,Greater Depth,Working Towards,Greater Depth,96.3%,No
1153,Ella,Patel,Year 5,24/06/2015,Female,Expected,Expected,Expected,Expected,Greater Depth,Greater Depth,Working Towards,Working Towards,Expected,Expected,Working Towards,89.3%,Yes
1154,Esme,Morris,Year 5,30/01/2015,Female,Pre-Working Towards,Expected,Expected,Expected,Expected,Working Towards,Pre-Working Towards,Greater Depth,Expected,Expected,Working Towards,92.4%,No
1155,Alfie,Evans,Year 5,22/01/2015,Male,Expected,Working Towards,Working Towards,Greater Depth,Pre-Working Towards,Expected,Working Towards,Greater Depth,Expected,Greater Depth,Working Towards,97.9%,No
1156,Oscar,Bailey,Year 5,24/10/2014,Male,Working Towards,Pre-Working Towards,Greater Depth,Greater Depth,Expected,Working Towards,Expected,Expected,Expected,Greater Depth,Expected,98.0%,No
1157,Sebastian,Ali,Year 5,17/04/2015,Male,Expected,Greater Depth,Expected,Expected,Expected,Greater Depth,Working Towards,Expected,Working Towards,Greater Depth,Expected,87.2%,Yes
1158,Harper,Wright,Year 5,12/02/2015,Female,Expected,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Pre-Working Towards,Expected,Greater Depth,Working Towards,94.8%,No
1159,Hannah,Moore,Year 5,28/10/2014,Female,Working Towards,Expected,Working Towards,Expected,Expected,Expected,Working Towards,Working Towards,Greater Depth,Expected,Expected,93.1%,No
1160,William,Scott,Year 5,01/11/2014,Male,Working Towards,Expected,Greater Depth,Expected,Working Towards,Expected,Expected,Expected,Expected,Expected,Greater Depth,97.8%,No
1161,James,Jones,Year 5,09/09/2014,Male,Expected,Working Towards,Working Towards,Expected,Expected,Expected,Expected,Pre-Working Towards,Expected,Expected,Greater Depth,97.1%,No
1162,Chloe,Smith,Year 5,18/05/2015,Female,Expected,Expected,Working Towards,Pre-Working Towards,Greater Depth,Expected,Working Towards,Working Towards,Greater Depth,Pre-Working Towards,Expected,96.2%,No
1163,Bonnie,Singh,Year 5,23/08/2015,Female,Expected,Expected,Expected,Expected,Expected,Expected,Working Towards,Working Towards,Expected,Expected,Expected,94.0%,No
1164,Louie,King,Year 5,03/08/2015,Male,Expected,Greater Depth,Expected,Working Towards,Pre-Working Towards,Expected,Expected,Greater Depth,Expected,Expected,Greater Depth,94.8%,No
1165,Ava,Smith,Year 5,12/05/2015,Female,Greater Depth,Working Towards,Expected,Working Towards,Expected,Pre-Working Towards,Working Towards,Expected,Expected,Expected,Expected,99.3%,No
1166,Poppy,Harris,Year 5,21/04/2015,Female,Expected,Greater Depth,Greater Depth,Expected,Expected,Expected,Greater Depth,Expected,Expected,Greater Depth,Expected,97.3%,No
1167,Zachary,Walker,Year 5,17/07/2015,Male,Expected,Pre-Working Towards,Expected,Greater Depth,Expected,Pre-Working Towards,Working Towards,Pre-Working Towards,Expected,Working Towards,Greater Depth,84.5%,Yes
1168,Olivia,Phillips,Year 5,11/05/2015,Female,Expected,Working Towards,Working Towards,Working Towards,Expected,Expected,Expected,Expected,Expected,Expected,Working Towards,97.0%,No
1169,Grace,Johnson,Year 5,27/12/2014,Female,Greater Depth,Expected,Pre-Working Towards,Expected,Greater Depth,Pre-Working Towards,Expected,Expected,Greater Depth,Greater Depth,Expected,95.9%,No
1170,Nora,Williams,Year 5,24/10/2014,Female,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Expected,Working Towards,Expected,Expected,Working Towards,97.6%,No
1171,Mia,Phillips,Year 5,29/08/2015,Female,Expected,Working Towards,Expected,Greater Depth,Greater Depth,Working Towards,Expected,Greater Depth,Expected,Working Towards,Working Towards,94.9%,No
1172,Lucas,Bell,Year 5,20/04/2015,Male,Expected,Working Towards,Expected,Expected,Expected,Expected,Expected,Greater Depth,Working Towards,Greater Depth,Expected,95.0%,No
1173,Nora,Hill,Year 5,02/04/2015,Female,Expected,Expected,Expected,Expected,Expected,Expected,Expected,Greater Depth,Expected,Expected,Working Towards,92.9%,No
1174,Nathan,Brown,Year 5,07/11/2014,Male,Working Towards,Greater Depth,Expected,Expected,Greater Depth,Expected,Greater Depth,Expected,Expected,Greater Depth,Expected,95.7%,No
1175,Alice,Wilson,Year 5,23/09/2014,Female,Expected,Expected,Expected,Pre-Working Towards,Expected,Working Towards,Expected,Expected,Expected,Pre-Working Towards,Expected,97.2%,No
1176,Imogen,Hall,Year 5,30/05/2015,Female,Greater Depth,Expected,Expected,Expected,Expected,Greater Depth,Expected,Expected,Greater Depth,Working Towards,Expected,92.1%,No
1177,Phoebe,Ahmed,Year 5,09/07/2015,Female,Working Towards,Greater Depth,Expected,Pre-Working Towards,Working Towards,Expected,Working Towards,Greater Depth,Expected,Expected,Pre-Working Towards,97.4%,No
1178,Matilda,Martin,Year 5,15/03/2015,Female,Greater Depth,Working Towards,Expected,Expected,Greater Depth,Expected,Expected,Expected,Expected,Expected,Expected,88.9%,Yes
1179,Finley,Singh,Year 5,01/06/2015,Male,Greater Depth,Working Towards,Expected,Expected,Working Towards,Expected,Pre-Working Towards,Expected,Expected,Greater Depth,Working Towards,94.6%,No
1180,Matilda,Bailey,Year 5,03/08/2015,Female,Expected,Pre-Working Towards,Greater Depth,Expected,Greater Depth,Greater Depth,Expected,Expected,Expected,Expected,Expected,98.0%,No
1181,Evie,Walker,Year 6,11/06/2014,Female,Working Towards,Working Towards,Pre-Working Towards,Expected,Expected,Working Towards,Working Towards,Greater Depth,Expected,Expected,Expected,89.0%,Yes
1182,Isaac,Carter,Year 6,16/06/2014,Male,Expected,Pre-Working Towards,Pre-Working Towards,Greater Depth,Expected,Greater Depth,Expected,Working Towards,Greater Depth,Greater Depth,Expected,96.0%,No
1183,Sienna,Hughes,Year 6,05/01/2014,Female,Greater Depth,Expected,Working Towards,Greater Depth,Greater Depth,Working Towards,Expected,Greater Depth,Greater Depth,Greater Depth,Expected,95.0%,No
1184,Jude,Young,Year 6,24/11/2013,Male,Expected,Expected,Expected,Expected,Expected,Working Towards,Working Towards,Expected,Greater Depth,Working Towards,Expected,99.5%,No
1185,Max,Baker,Year 6,24/10/2013,Male,Expected,Expected,Expected,Greater Depth,Greater Depth,Expected,Greater Depth,Expected,Expected,Greater Depth,Expected,95.5%,No
1186,Jack,Thompson,Year 6,17/12/2013,Male,Pre-Working Towards,Expected,Working Towards,Pre-Working Towards,Expected,Greater Depth,Working Towards,Expected,Greater Depth,Working Towards,Greater Depth,96.4%,No
1187,Benjamin,Parker,Year 6,16/01/2014,Male,Expected,Working Towards,Greater Depth,Working Towards,Pre-Working Towards,Expected,Working Towards,Greater Depth,Pre-Working Towards,Expected,Expected,99.5%,No
1188,Esme,Price,Year 6,21/02/2014,Female,Greater Depth,Expected,Greater Depth,Working Towards,Expected,Working Towards,Expected,Working Towards,Expected,Expected,Expected,95.4%,No
1189,Finley,Young,Year 6,12/01/2014,Male,Working Towards,Expected,Working Towards,Expected,Expected,Expected,Expected,Greater Depth,Expected,Greater Depth,Expected,99.8%,No
1190,Sienna,Carter,Year 6,13/02/2014,Female,Expected,Working Towards,Working Towards,Pre-Working Towards,Working Towards,Greater Depth,Expected,Expected,Expected,Working Towards,Greater Depth,93.5%,No
1191,Nora,Johnson,Year 6,13/02/2014,Female,Expected,Working Towards,Expected,Expected,Pre-Working Towards,Working Towards,Expected,Working Towards,Expected,Expected,Working Towards,89.6%,Yes
1192,Alice,Parker,Year 6,25/02/2014,Female,Working Towards,Working Towards,Pre-Working Towards,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Expected,Pre-Working Towards,98.4%,No
1193,Noah,Price,Year 6,08/10/2013,Male,Greater Depth,Greater Depth,Greater Depth,Working Towards,Expected,Expected,Greater Depth,Greater Depth,Expected,Expected,Expected,86.9%,Yes
1194,Aisha,Parker,Year 6,18/07/2014,Female,Expected,Expected,Expected,Pre-Working Towards,Expected,Working Towards,Greater Depth,Greater Depth,Working Towards,Expected,Expected,98.5%,No
1195,Grace,Singh,Year 6,15/03/2014,Female,Expected,Expected,Greater Depth,Working Towards,Greater Depth,Greater Depth,Working Towards,Working Towards,Greater Depth,Expected,Pre-Working Towards,88.3%,Yes
1196,Willow,Parker,Year 6,12/03/2014,Female,Expected,Greater Depth,Expected,Pre-Working Towards,Greater Depth,Working Towards,Pre-Working Towards,Greater Depth,Expected,Expected,Greater Depth,92.6%,No
1197,Mason,Wood,Year 6,05/01/2014,Male,Expected,Working Towards,Working Towards,Expected,Expected,Expected,Working Towards,Expected,Pre-Working Towards,Expected,Greater Depth,93.8%,No
1198,Freya,Roberts,Year 6,27/01/2014,Female,Expected,Pre-Working Towards,Greater Depth,Greater Depth,Greater Depth,Greater Depth,Greater Depth,Expected,Pre-Working Towards,Working Towards,Working Towards,94.7%,No
1199,Alice,Jackson,Year 6,15/01/2014,Female,Greater Depth,Expected,Working Towards,Expected,Pre-Working Towards,Working Towards,Working Towards,Expected,Expected,Expected,Expected,95.1%,No
1200,Sienna,Wright,Year 6,10/06/2014,Female,Working Towards,Expected,Expected,Working Towards,Expected,Expected,Working Towards,Expected,Greater Depth,Greater Depth,Working Towards,84.8%,Yes
1201,Layla,Evans,Year 6,20/03/2014,Female,Expected,Pre-Working Towards,Expected,Expected,Greater Depth,Expected,Expected,Expected,Greater Depth,Working Towards,Working Towards,97.4%,No
1202,Benjamin,Patel,Year 6,01/03/2014,Male,Expected,Expected,Expected,Working Towards,Greater Depth,Expected,Expected,Working Towards,Greater Depth,Greater Depth,Working Towards,89.9%,Yes
1203,Harry,Lewis,Year 6,03/03/2014,Male,Expected,Pre-Working Towards,Expected,Expected,Expected,Expected,Expected,Greater Depth,Working Towards,Greater Depth,Working Towards,87.2%,Yes
1204,Poppy,Cook,Year 6,16/01/2014,Female,Expected,Pre-Working Towards,Greater Depth,Greater Depth,Working Towards,Expected,Greater Depth,Expected,Expected,Expected,Greater Depth,96.2%,No
1205,Noah,Martin,Year 6,28/12/2013,Male,Expected,Greater Depth,Greater Depth,Expected,Expected,Expected,Working Towards,Expected,Expected,Greater Depth,Greater Depth,95.5%,No
1206,William,Cook,Year 6,11/06/2014,Male,Expected,Expected,Working Towards,Expected,Expected,Expected,Greater Depth,Expected,Expected,Expected,Working Towards,86.7%,Yes
1207,Arthur,Lee,Year 6,07/09/2013,Male,Expected,Expected,Expected,Expected,Expected,Expected,Pre-Working Towards,Expected,Working Towards,Greater Depth,Working Towards,94.9%,No
1208,Rosie,Bell,Year 6,20/09/2013,Female,Expected,Greater Depth,Expected,Expected,Working Towards,Expected,Expected,Expected,Expected,Greater Depth,Greater Depth,95.7%,No
1209,Nathan,Roberts,Year 6,29/04/2014,Male,Greater Depth,Working Towards,Expected,Greater Depth,Pre-Working Towards,Greater Depth,Greater Depth,Expected,Expected,Expected,Working Towards,95.9%,No
1210,William,Walker,Year 6,21/08/2014,Male,Working Towards,Expected,Pre-Working Towards,Expected,Pre-Working Towards,Working Towards,Working Towards,Working Towards,Expected,Greater Depth,Greater Depth,89.3%,Yes
